record_type,id,name,domain,definition,requires_context,independently_conclusive,related_concepts
indicator,CCI-PSYCHOLOGICAL-HUMILIATION,Humiliation,psychological_control,Repeated or strategically used conduct intended to humiliate and contribute to domination or compliance.,false,false,
indicator,CCI-PSYCHOLOGICAL-DEGRADATION,Degradation,psychological_control,Conduct that persistently demeans or devalues another person as part of a controlling pattern.,false,false,
indicator,CCI-PSYCHOLOGICAL-INTIMIDATION,Intimidation,psychological_control,Conduct creating apprehension or fear that is used to influence another person's behaviour.,false,false,HTI-THREATS
indicator,CCI-PSYCHOLOGICAL-MANIPULATION,Manipulation,psychological_control,"Deceptive, exploitative or psychologically coercive conduct used to influence another person's decisions or perception of available choices.",true,false,
indicator,CCI-PSYCHOLOGICAL-INDUCED-FEAR,Induced fear,psychological_control,Conduct causing or maintaining fear that materially affects another person's behaviour or autonomy.,false,false,
indicator,CCI-PSYCHOLOGICAL-UNPREDICTABLE-PUNISHMENT,Unpredictable punishment,psychological_control,"Unpredictable adverse consequences for ordinary conduct or perceived non-compliance that produce vigilance, uncertainty or submission.",false,false,
indicator,CCI-DIGITAL-PASSWORD-CONTROL,Password control,technology_facilitated_control,"Demanding, taking or controlling another person's authentication credentials in circumstances contributing to surveillance or domination.",true,false,
indicator,CCI-DIGITAL-ACCOUNT-TAKEOVER,Account takeover,technology_facilitated_control,Taking control of another person's digital account without meaningful consent or preventing them from regaining independent access.,false,false,
indicator,CCI-DIGITAL-LOCATION-TRACKING,Digital location tracking,technology_facilitated_control,Using technology to monitor another person's location as part of a controlling pattern.,true,false,
indicator,CCI-DIGITAL-DEVICE-MONITORING,Digital device monitoring,technology_facilitated_control,Using technological means to monitor activity on another person's device without meaningful and freely revocable consent.,true,false,
indicator,CCI-DIGITAL-IMPERSONATION,Digital impersonation,technology_facilitated_control,"Using another person's digital identity or accounts to impersonate them in circumstances associated with harassment, deception or control.",false,false,
indicator,CCI-DIGITAL-COMMUNICATION-INTERFERENCE,Communication interference,technology_facilitated_control,"Blocking, deleting, intercepting or otherwise interfering with independent communication.",false,false,
indicator,CCI-DIGITAL-ACCESS-RESTRICTION,Digital access restriction,technology_facilitated_control,"Restricting access to devices, connectivity or online services in a manner that materially reduces independence.",false,false,
indicator,CCI-POSTSEP-STALKING,Post-separation stalking,post_separation_control,"Stalking conduct following separation that forms part of an ongoing attempt to monitor, intimidate or control.",false,false,
indicator,CCI-POSTSEP-UNWANTED-CONTACT,Persistent unwanted contact,post_separation_control,Repeated unwanted communication after separation where its context or effect contributes to intimidation or control.,true,false,
indicator,CCI-POSTSEP-DIGITAL-MONITORING,Post-separation digital monitoring,post_separation_control,Continued digital surveillance or unauthorised access following separation.,false,false,
indicator,CCI-POSTSEP-FINANCIAL-INTERFERENCE,Post-separation financial interference,post_separation_control,"Using financial arrangements, liabilities or resources after separation to continue control.",false,false,
indicator,CCI-POSTSEP-THIRD-PARTY-CONTROL,Third-party control,post_separation_control,"Using other people to monitor, contact, intimidate, influence or otherwise exert control.",true,false,
indicator,CCI-POSTSEP-SYSTEMS-ABUSE,Systems abuse,post_separation_control,"Using legal, administrative, institutional or complaint processes as part of a pattern intended to intimidate, exhaust, punish or maintain control.",true,false,
indicator,CCI-POSTSEP-PROPERTY-INTERFERENCE,Property interference,post_separation_control,"Using property, possessions or access to belongings after separation as a mechanism of intimidation or control.",false,false,
impact,CCI-IMPACT-FEAR,Fear,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-REDUCED-AUTONOMY,Reduced autonomy,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-SOCIAL-ISOLATION,Social isolation,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-FINANCIAL-DEPENDENCY,Financial dependency,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-HOUSING-INSECURITY,Housing insecurity,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-EMPLOYMENT-DISRUPTION,Employment disruption,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-DIGITAL-EXCLUSION,Digital exclusion,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-CHANGED-BEHAVIOUR,Changed behaviour,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-SELF-CENSORSHIP,Self-censorship,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-RESTRICTED-MOVEMENT,Restricted movement,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
impact,CCI-IMPACT-DEPENDENCY,Dependency,impact,Observed or reported impact associated with coercive-control-related conduct.,false,false,
pattern,CCP-AUTONOMY-EROSION,Progressive erosion of autonomy,pattern,Multiple behaviours progressively reduce a person's practical ability to make or act on independent choices.,false,false,
pattern,CCP-ISOLATION-DEPENDENCY,Isolation-dependency pattern,pattern,"Increasing isolation accompanied by increasing practical, financial, technological or care dependency.",false,false,
pattern,CCP-SURVEILLANCE-INTIMIDATION,Surveillance-intimidation pattern,pattern,Monitoring accompanied by threatened or actual consequences.,false,false,
pattern,CCP-ECONOMIC-DEPENDENCY,Economic-dependency pattern,pattern,"Economic control creates, increases or maintains reliance on another person.",false,false,
pattern,CCP-MOVEMENT-CONTROL,Movement-control pattern,pattern,Multiple behaviours collectively constrain physical movement or access to places and people.,false,false,
pattern,CCP-DIGITAL-CONTROL,Digital-control pattern,pattern,"Technology is systematically used to monitor, restrict, intimidate or control.",false,false,
pattern,CCP-ESCALATING-CONTROL,Escalating-control pattern,pattern,"Controlling behaviour increases in frequency, severity, scope or consequences over time.",false,false,
pattern,CCP-POST-SEPARATION-CONTROL,Post-separation-control pattern,pattern,"Control continues, changes form or escalates after a relationship ends.",false,false,
pattern,CCP-MULTI-DOMAIN-CONTROL,Multi-domain-control pattern,pattern,Control simultaneously affects several areas of a person's life.,false,false,
pattern,CCP-FEAR-COMPLIANCE,Fear-compliance pattern,pattern,A person changes their behaviour because they anticipate consequences for non-compliance.,false,false,
