uri,page,notation,prefLabel,definition,scopeNote,inScheme,status,version,language,creator,license
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-gatekeeping/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-gatekeeping/,ssa:authorship-gatekeeping,Authorship Gatekeeping,"Allowing participation in idea generation but blocking participants from official recognition, publication rights, or intellectual property stakes.",When They Want Your Ideas—But Not Your Name,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/coercive-collaboration/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-laundering/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-laundering/,ssa:authorship-laundering,Authorship Laundering,The rebranding of lived-experience knowledge into 'neutral' or 'professional' frameworks—often by people or entities with institutional clout but no lived experience themselves.,When Identity Is Stripped for Palatability,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/digital-sovereignty/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-layer/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/authorship-layer/,ssa:authorship-layer,Authorship Layer,"Not just who made it, but why it exists — and whether it can be altered, sold, or watered down without the creator’s consent. SSA™ uses layered authorship to protect vulnerable systems knowledge from co-option.",Traceable Ownership of Meaningful Work,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/strategic-self-advocacy-lexicon/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/awareness-washing/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/awareness-washing/,ssa:awareness-washing,Awareness-Washing,"Using vague awareness campaigns that avoid systemic issues, prioritising feel-good messaging over real change — often without involving those directly impacted.",Pretending to Educate While Erasing,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/narrative-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/barrier-redecoration/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/barrier-redecoration/,ssa:barrier-redecoration,Barrier Redecoration,Rebranding a service with inclusive words or new graphics while leaving the original exclusionary design unchanged.,"Changing the Language, Not the Structure",https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/institutional-mimicry/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/benevolent-downgrade/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/benevolent-downgrade/,ssa:benevolent-downgrade,Benevolent Downgrade,"When a person accepts help, but that help limits their options, reduces their independence, or removes authorship. The system frames it as benevolent while decreasing quality of life.",Support That Lowers Capacity,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/system-led-distortion/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/borrowed-voice/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/borrowed-voice/,ssa:borrowed-voice,Borrowed Voice,"Speaking on behalf of marginalised people without sharing power, compensation, or the platform. Often framed as advocacy, but functions as appropriation.",Telling Someone’s Story Without Them,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/narrative-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/clinical-watermarking/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/clinical-watermarking/,ssa:clinical-watermarking,Clinical Watermarking,When neurodivergent people must have their insights or needs “confirmed” by professionals to be seen as valid—undermining lived expertise and requiring gatekeeper approval to exist.,Needing a Therapist’s Signature to Be Believed,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/neurodivergent-pattern-theft/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-entrapment/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-entrapment/,ssa:compliance-entrapment,Compliance Entrapment,"When a person follows the official rules but still ends up penalised because the system's true expectations are unspoken, inconsistent, or change without notice.",Punished for Following the Rules,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/system-led-distortion/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-fragmentation/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-fragmentation/,ssa:compliance-fragmentation,Compliance Fragmentation,"The division of compliance, safeguarding, accessibility, reporting and accountability obligations across disconnected systems with incompatible structures, language or processes. Compliance Fragmentation shifts the burden of coordination onto disabled people, advocates, families, peer workers, frontline staff and small organisations.",When Safety Depends on Navigating Multiple Systems at Once,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/legislation-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-framing/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/compliance-framing/,ssa:compliance-framing,Compliance Framing,"Suggesting that staying calm, quiet, or cheerful in the face of injustice is a sign of strength — rather than a forced survival response.",Framing Obedience as Maturity,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-positivity/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/consent-adjacent/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/consent-adjacent/,ssa:consent-adjacent,Consent-Adjacent,"Situations where refusal to collaborate risks backlash, exclusion, or funding loss—pressuring lived experience advocates to participate in disempowering ways.",When Collaboration Isn’t Actually Optional,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/coercive-collaboration/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/constructive-exclusion/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/constructive-exclusion/,ssa:constructive-exclusion,Constructive Exclusion,"When the system avoids saying “no” but designs impossible pathways that function as a no. This includes excessive forms, vague eligibility criteria, or open-ended application processes that technically exist—but aren’t meant to succeed.",Barriers Built from Bureaucratic Niceties,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/systemic-bypass/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/consultation-laundering/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/consultation-laundering/,ssa:consultation-laundering,Consultation Laundering,"When feedback from disabled or marginalised people is collected, repackaged by professionals, and credited to the organisation instead of the contributor.","Extracting Wisdom, Withholding Credit",https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/coercive-collaboration/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/controlled-consent/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/controlled-consent/,ssa:controlled-consent,Controlled Consent,When a system offers only pre-approved options and calls it “choice” — then uses your participation to imply informed consent.,When &quot;Choice&quot; Is an Illusion,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-access/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/cosmetic-reform/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/cosmetic-reform/,ssa:cosmetic-reform,Cosmetic Reform,When institutions talk about reform but change only language—not the structure that causes harm.,Policy Theatre Without Structural Change,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/co-opted-patterns/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/credit-laundering/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/credit-laundering/,ssa:credit-laundering,Credit Laundering,"When someone uses your work, words, or frameworks and presents them as their own “insight” in safer or more prestigious spaces.",Repackaging Ideas Without Attribution,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/extractive-allyship/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/data-disappearance/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/data-disappearance/,ssa:data-disappearance,Data Disappearance,When policies or forms fail to record key information — erasing experiences from official records and removing them from public concern.,When the Numbers Don’t Show the Harm,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/structural-disappearance/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/dead-end-referral/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/dead-end-referral/,ssa:dead-end-referral,Dead-End Referral,"When a person is redirected endlessly between services, none of which are equipped to provide real help. A bureaucratic loop that leads nowhere.",Being Sent Somewhere That Can’t Help,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/structural-disappearance/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/dependency-enforcement/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/dependency-enforcement/,ssa:dependency-enforcement,Dependency Enforcement,"When access is conditional on compliance, and those who assert autonomy are painted as unsafe, unprofessional, or ungrateful.",You Can Speak — But Only If We Let You,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/gatekeeping-devices/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/designed-disappearance/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/designed-disappearance/,ssa:designed-disappearance,Designed Disappearance,"Systems that technically exist, but are built to quietly fail the people they claim to serve. The illusion of support, with none of the substance.",Access That Was Never Intended to Work,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/structural-disappearance/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/digital-dependency-trap/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/digital-dependency-trap/,ssa:digital-dependency-trap,Digital Dependency Trap,"When support is moved online in the name of “accessibility,” but results in even less accountability — and no one to talk to when the system breaks.",Platforms That Replace Human Support — Then Fail,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-access/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/distributed-accountability-collapse/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/distributed-accountability-collapse/,ssa:distributed-accountability-collapse,Distributed Accountability Collapse,"The breakdown of accountability caused by governance systems spreading responsibility across so many actors, committees, frameworks and jurisdictions that meaningful enforcement becomes difficult or impossible. This term names architectural failure. It should not be used to blame individual workers when responsibility has been structurally diffused by the system itself.",When Governance Structures Become Too Diffuse to Fail Clearly,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/legislation-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/divergence-as-ip/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/divergence-as-ip/,ssa:divergence-as-ip,Divergence-as-IP,"When systems rebrand lived tools—like stimming objects, hyperfocus systems, or communication cards—as commercial products with no reinvestment in the communities that created them.",Monetising What We’ve Had to Create,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/neurodivergent-pattern-theft/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/eligibility-obscuration/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/eligibility-obscuration/,ssa:eligibility-obscuration,Eligibility Obscuration,"Making the process of applying so complicated, technical, or contradictory that people give up or never apply at all.",Hiding Help Behind Complex Criteria,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/structural-disappearance/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/empathy-erasure/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/empathy-erasure/,ssa:empathy-erasure,Empathy Erasure,"When neurodivergent expressions of care—like deep pattern noticing, advocacy, or intense loyalty—are ignored or dismissed because they don’t follow neurotypical emotional scripts.",Assuming We Don’t Feel Because We Show It Differently,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/neurodivergent-pattern-theft/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/empowerment-theatre/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/empowerment-theatre/,ssa:empowerment-theatre,Empowerment Theatre,"When programs pretend to centre disability or trauma-informed leadership but retain control, edit lived experience, and deny genuine co-design or authorship.",Staged Inclusion Without Autonomy,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/accessibility-abuse/|https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/institutional-mimicry/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/experience-harvesting/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/experience-harvesting/,ssa:experience-harvesting,Experience Harvesting,"Collecting lived-experience stories to generate funding, branding, or prestige—while offering little to no return to those who shared them.",Mining Pain for Content or Clout,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/extractive-allyship/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/feedback-laundering/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/feedback-laundering/,ssa:feedback-laundering,Feedback Laundering,Translating powerful personal testimony into neutral or decontextualised summaries that can be used to justify inaction or misrepresent lived-experience consensus.,Sanitising Truth Into Token Metrics,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/digital-extraction/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/fix-first-framing/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/fix-first-framing/,ssa:fix-first-framing,Fix-First Framing,When systems imply that support can only be given after the individual “fixes” themselves — putting the burden of access on personal change rather than systemic adaptation.,Support Hinges on Self-Correction,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/system-led-distortion/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/formfield-distortion/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/formfield-distortion/,ssa:formfield-distortion,Formfield Distortion,"When the design of systems (e.g. government forms, assessments, or online portals) forces a person to misrepresent themselves in order to access support. This distorts identity and data while punishing honesty.",When the Form Doesn’t Fit the Person,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/system-led-distortion/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/framework-flooding/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/framework-flooding/,ssa:framework-flooding,Framework Flooding,"The production of excessive frameworks, strategies, policies, agreements or action plans that overwhelm communities, workers or advocates with procedural complexity. Framework Flooding creates exhaustion, fragmentation and navigational overload while allowing institutions to continue signalling progress.",Drowning Communities in Strategy Documents,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/legislation-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/gatekept-liberation/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/gatekept-liberation/,ssa:gatekept-liberation,Gatekept Liberation,"When only the most “palatable” or institutionally aligned people get access to opportunity — while others are labelled difficult, dangerous, or non-compliant for needing the same things.",Only Some Get Out — And Only If They Behave,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-access/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/grantwash/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/grantwash/,ssa:grantwash,Grantwash,"Framing a project as inclusive in grant documents to secure funding — then delivering something inaccessible, gatekept, or performative.",Writing Equity into Applications Only,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/institutional-mimicry/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/gratitude-gaslighting/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/gratitude-gaslighting/,ssa:gratitude-gaslighting,Gratitude Gaslighting,"Insisting that people be “grateful” for crumbs of support — even when those crumbs are harmful, insufficient, or humiliating.",Forcing Thanks Where There Should Be Change,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-positivity/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/inclusion-theatre/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/inclusion-theatre/,ssa:inclusion-theatre,Inclusion Theatre,"Creating the illusion of inclusive input while decisions have already been made. Often used for PR, not systemic change.",Staging Participation Without Power,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/coercive-collaboration/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/index-ghosting/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/index-ghosting/,ssa:index-ghosting,Index Ghosting,"The phenomenon where your ideas influence platforms, algorithms, or research—but you are never cited, paid, or publicly acknowledged.","When You’re Referenced, But Not Seen",https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/digital-sovereignty/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/infantilising-reassurance/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/infantilising-reassurance/,ssa:infantilising-reassurance,Infantilising Reassurance,"Offering hollow comfort or oversimplified advice that ignores a person’s depth, complexity, or autonomy — often in a patronising tone.",Talking Down in the Name of Comfort,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/weaponised-positivity/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/insight-extraction/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/insight-extraction/,ssa:insight-extraction,Insight Extraction,"Consulting communities for their ideas, then converting those ideas into institutionally owned frameworks, campaigns, or products—often stripped of context and credit.",Gathering Lived Experience as Raw Material,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/digital-extraction/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
https://www.mcloughlin.world/glossaries/ssa-lexicon/term/inspiration-drag/#concept,https://www.mcloughlin.world/glossaries/ssa-lexicon/term/inspiration-drag/,ssa:inspiration-drag,Inspiration Drag,"When people reword or co-opt someone’s survival story for social media clout, awareness campaigns, or funding applications — often without consent.",Trying on Struggle Without Living It,https://www.mcloughlin.world/glossaries/ssa-lexicon/scheme/narrative-laundering/,published,0.2.0,en-AU,https://www.mcloughlin.world/#sarah-ailish-mcloughlin,https://creativecommons.org/licenses/by/4.0/
